Gene	AS_event_ID	chromosome	strand	upstream_exon_end_coor	cassette_exon_start_coor	cassette_exon_end_coor	downstream_exon_start_coor	pvalue	qvalue	deltaPSI_control-KD
pod1	chrX_+_6809137_6809373_6809406_6809483	chrX	+	6809137	6809373	6809406	6809483	0.0357945004055997	0.0646881043672766	-0.0804540118151849
sdk	chrX_+_737288_737509_737665_740425	chrX	+	737288	737509	737665	740425	0.00430798255859306	0.00930514866628254	-0.0261066296883838
spidey	chrX_+_7909537_7909877_7909924_7910707	chrX	+	7909537	7909877	7909924	7910707	3.91587515306041e-05	0.000115058690264414	0.00595712889986288
mahe	chrX_-_7928556_7928793_7930315_7930872	chrX	-	7928556	7928793	7930315	7930872	1.17177088803078e-06	4.21243919804091e-06	0.00779899474726664
otu	chrX_-_8486993_8487256_8487382_8487575	chrX	-	8486993	8487256	8487382	8487575	3.35188548119846e-06	1.13879252530855e-05	0.153761330981542
Crag	chrX_+_8597714_8598073_8598154_8599029	chrX	+	8597714	8598073	8598154	8599029	0.000942758541319572	0.00226794699773572	0.160843251431841
AP-1gamma	chrX_+_9112239_9112749_9112767_9113641	chrX	+	9112239	9112749	9112767	9113641	1.49138521065426e-07	5.99251604485439e-07	-0.265519462779737
nej	chrX_-_9674443_9674498_9674561_9674812	chrX	-	9674443	9674498	9674561	9674812	2.88217568111739e-09	1.4033134181104e-08	-0.0797927856654077
CARPB	chrX_+_9836806_9845700_9845796_9845957	chrX	+	9836806	9845700	9845796	9845957	0.00043314968922713	0.00109722767037184	0.201290430702195
CCY	chrY_+_3651066_3653125_3653281_3663951	chrY	+	3651066	3653125	3653281	3663951	2.53432305866324e-17	2.48030095816526e-16	0.116638319918273
kl-3	chrY_+_541466_558086_560962_561016	chrY	+	541466	558086	560962	561016	7.1536572355655e-18	7.2537445513427e-17	0.31041181041181
Mondo	chr2L_-_21289744_21296338_21297169_21297693	chr2L	-	21289744	21296338	21297169	21297693	1.39091821275211e-06	4.95506170943421e-06	-0.0775694749385179
crc	chr2L_+_21311032_21311192_21311531_21311751	chr2L	+	21311032	21311192	21311531	21311751	9.25440880644961e-59	4.0812969836187e-57	-0.126961266615492
nolo	chr2L_+_21683562_21688473_21688552_21700670	chr2L	+	21683562	21688473	21688552	21700670	0.0308000230991634	0.0564746040277186	0.253044182025531
Marf1	chr2L_+_22365324_22365376_22367173_22367234	chr2L	+	22365324	22365376	22367173	22367234	0.00650095096132336	0.0136032184924787	0.0223626140835523
kis	chr2L_-_228281_229172_229382_230536	chr2L	-	228281	229172	229382	230536	0.0286583954967815	0.0529139524721432	-0.0310904937591295
CG17715	chr2L_+_22844847_22848969_22849092_22849212	chr2L	+	22844847	22848969	22849092	22849212	1.79631185543861e-12	1.19930725819708e-11	-0.258115889693506
kis	chr2L_-_232101_232291_232379_233995	chr2L	-	232101	232291	232379	233995	1.06532972931623e-09	5.436624541446e-09	0.0272640059718291
CG34109	chr2L_+_10101251_10103645_10104055_10104790	chr2L	+	10101251	10103645	10104055	10104790	9.80629683641218e-12	6.12017646296066e-11	0.405379407529945
CG3558	chr2L_+_2997059_2997491_2997530_2997789	chr2L	+	2997059	2997491	2997530	2997789	2.53814266596941e-07	9.90904195290621e-07	-0.155022063569089
tim	chr2L_-_3501561_3501617_3502126_3502414	chr2L	-	3501561	3501617	3502126	3502414	0.00213306108909454	0.0048509609533004	0.0321841526367318
tutl	chr2L_+_4308426_4308775_4308859_4314200	chr2L	+	4308426	4308775	4308859	4314200	0.0150933607587605	0.0295141817281007	0.123302509107405
dpy	chr2L_-_4487193_4487448_4489113_4515395	chr2L	-	4487193	4487448	4489113	4515395	1.93950608673172e-09	9.6201330926806e-09	0.655218346708998
dpy	chr2L_-_4520299_4520376_4525927_4526222	chr2L	-	4520299	4520376	4525927	4526222	2.22896152917645e-06	7.7372774350973e-06	0.413342606302628
dpy	chr2L_-_4532386_4548004_4548802_4552241	chr2L	-	4532386	4548004	4548802	4552241	0.00640229988602353	0.0134120926447325	0.122638490285549
CG34126	chr2L_+_4985424_4985732_4985762_4985860	chr2L	+	4985424	4985732	4985762	4985860	8.67665751930805e-10	4.47773368206582e-09	-0.306609497880899
CG34126	chr2L_+_4988848_4989389_4989410_4990306	chr2L	+	4988848	4989389	4989410	4990306	0.0345406873050934	0.0626214852011563	-0.0939222202214915
qtc	chr2L_+_5068394_5069126_5069219_5070095	chr2L	+	5068394	5069126	5069219	5070095	0.0243891972936093	0.0457206368469642	0.0121116483188044
Msp300	chr2L_+_5140921_5141310_5141517_5141651	chr2L	+	5140921	5141310	5141517	5141651	0.0200238210364412	0.0381887105441308	-0.213176750653263
Msp300	chr2L_+_5202302_5202764_5202803_5203114	chr2L	+	5202302	5202764	5202803	5203114	1.28145137586216e-11	7.9075897013606e-11	-0.156294379004566
Bsg25D	chr2L_-_5275780_5276287_5276368_5276510	chr2L	-	5275780	5276287	5276368	5276510	0.0282945550824743	0.0523056238314911	0.266874214115594
smal	chr2L_+_6192859_6196543_6196996_6201260	chr2L	+	6192859	6196543	6196996	6201260	1.81281854860248e-08	8.09823148954318e-08	0.382745726495727
smal	chr2L_+_6201441_6203178_6203618_6206208	chr2L	+	6201441	6203178	6203618	6206208	7.16747523808087e-09	3.34947304325081e-08	0.399035681644377
CG11319	chr2L_-_6568865_6570922_6571230_6572194	chr2L	-	6568865	6570922	6571230	6572194	0.00144223295443049	0.00336670063950403	0.169420702754036
MICU1	chr2L_+_7183322_7183502_7183665_7183776	chr2L	+	7183322	7183502	7183665	7183776	0.022176059823839	0.0419211921595891	0.0859292952131718
Samuel	chr2L_-_11031135_11035515_11036269_11055321	chr2L	-	11031135	11035515	11036269	11055321	4.30439389717115e-09	2.05947563126616e-08	0.096585678464065
Ndae1	chr2L_-_7234997_7236144_7236351_7237685	chr2L	-	7234997	7236144	7236351	7237685	9.58677551913942e-05	0.000266879891979172	0.138076320907276
GABA-B-R3	chr2L_+_757429_757799_757938_758845	chr2L	+	757429	757799	757938	758845	3.78358834807008e-32	7.83577422449766e-31	0.448809523809524
GABA-B-R3	chr2L_+_759122_759230_759549_759677	chr2L	+	759122	759230	759549	759677	1.55897529540594e-12	1.04710442094815e-11	0.096860111790524
CG14339	chr2L_+_1110423_1110479_1110674_1111262	chr2L	+	1110423	1110479	1110674	1111262	1.33467748075349e-25	2.07345313396153e-24	0.529953963335637
Cka	chr2L_+_8036576_8036842_8036893_8037088	chr2L	+	8036576	8036842	8036893	8037088	8.44026368110889e-13	5.81142498447474e-12	-0.0368347120947021
poe	chr2L_-_8060504_8060565_8061258_8061306	chr2L	-	8060504	8060565	8061258	8061306	2.7170727737566e-12	1.783997885652e-11	0.00714276901520672
Piezo	chr2L_+_8180029_8181983_8182049_8182303	chr2L	+	8180029	8181983	8182049	8182303	5.30506390066981e-09	2.51529018985029e-08	0.193105407929643
CSN8	chr2L_+_8364979_8365039_8365104_8365151	chr2L	+	8364979	8365039	8365104	8365151	6.69231153345203e-07	2.48109268760989e-06	0.0238620185912787
kraken	chr2L_+_853005_853191_853278_853543	chr2L	+	853005	853191	853278	853543	1.11576356342379e-29	2.08797381867445e-28	0.0353375577443943
Sema1a	chr2L_+_8631123_8640586_8640695_8645025	chr2L	+	8631123	8640586	8640695	8645025	0.00252558199429114	0.00566856281563308	0.0678380427841635
CG31609	chr2L_+_9097711_9097769_9097779_9097870	chr2L	+	9097711	9097769	9097779	9097870	9.14294919236767e-18	9.20627029319319e-17	0.0482602946450154
tai	chr2L_+_9243900_9244262_9244586_9245384	chr2L	+	9243900	9244262	9244586	9245384	6.22902029639746e-06	2.04401247691134e-05	0.272922184806624
Eaat1	chr2L_+_9338860_9339513_9339556_9339618	chr2L	+	9338860	9339513	9339556	9339618	2.30531709555053e-07	9.04751927484649e-07	0.0823964264558324
jp	chr2L_-_9549665_9550203_9550404_9551715	chr2L	-	9549665	9550203	9550404	9551715	9.82712645473067e-05	0.000273113821535752	0.0751199704688076
jp	chr2L_-_9553728_9553802_9554268_9555282	chr2L	-	9553728	9553802	9554268	9555282	4.60518933388921e-15	3.8357988289679e-14	0.190168959615632
Pka-C1	chr2L_-_9685202_9696190_9698233_9699113	chr2L	-	9685202	9696190	9698233	9699113	2.82497511464798e-14	2.20860287339198e-13	0.0553656560215126
Nckx30C	chr2L_-_9718006_9718265_9718520_9722759	chr2L	-	9718006	9718265	9718520	9722759	1.95852295893002e-05	5.99936041016538e-05	-0.65338693957115
magu	chr2R_+_10061189_10061249_10061364_10061616	chr2R	+	10061189	10061249	10061364	10061616	0.000106093122632216	0.000293483893038175	0.0263606401155915
CAP	chr2R_+_10294966_10295290_10295323_10295740	chr2R	+	10294966	10295290	10295323	10295740	0.00267028043918353	0.00596730659259521	0.0626483506800906
SLO2	chr2R_-_10335413_10336327_10336468_10336605	chr2R	-	10335413	10336327	10336468	10336605	0.0182200712971038	0.0350448545314448	0.0952358948292593
CG33144	chr2R_-_10742073_10742454_10754847_10754907	chr2R	-	10742073	10742454	10754847	10754907	2.72638584462794e-24	3.98332990682037e-23	0.281690386027302
Prip	chr2R_+_11440330_11441067_11441490_11441933	chr2R	+	11440330	11441067	11441490	11441933	1.22563857467419e-06	4.39714013208588e-06	0.104949671573333
CG13197	chr2R_+_11692167_11692498_11692545_11694472	chr2R	+	11692167	11692498	11692545	11694472	7.61514078752166e-127	9.1859401486172e-125	0.0482358243799196
exp	chr2R_+_11950189_11955584_11955742_11961681	chr2R	+	11950189	11955584	11955742	11961681	1.4104198463939e-06	5.02053457004048e-06	0.206349206349206
Ripalpha	chr2L_-_10200236_10200290_10200356_10200414	chr2L	-	10200236	10200290	10200356	10200414	3.6775665771107e-05	0.000108470927096274	0.00910315800336081
exp	chr2R_+_11961755_11962102_11962575_11962672	chr2R	+	11961755	11962102	11962575	11962672	1.13412648325715e-06	4.08603271992845e-06	0.213942307692308
exp	chr2R_+_11962981_11964001_11964086_11964230	chr2R	+	11962981	11964001	11964086	11964230	3.98490127645307e-05	0.000116971545039699	0.290659340659341
Galphaq	chr2R_+_12618140_12618203_12618343_12618441	chr2R	+	12618140	12618203	12618343	12618441	0.00145401387183993	0.00339259627433594	0.00536655874025254
muskelin	chr2R_-_12629272_12629327_12629457_12629518	chr2R	-	12629272	12629327	12629457	12629518	0.011484959393672	0.0229702399057233	0.0243165958012778
CG40191	chr2R_+_1265293_1265342_1266052_1266190	chr2R	+	1265293	1265342	1266052	1266190	3.37048377986884e-07	1.29772288258782e-06	-0.0317112623431844
CG4887	chr2L_+_1174266_1174496_1174570_1174908	chr2L	+	1174266	1174496	1174570	1174908	5.2291015828927e-08	2.21513735892148e-07	0.173217669347449
ValRS	chr2R_+_13200824_13200888_13200906_13200996	chr2R	+	13200824	13200888	13200906	13200996	0.00245204416075658	0.00551649204784449	-0.0630885163041889
CG14932	chr2L_+_11790005_11790058_11790115_11790174	chr2L	+	11790005	11790058	11790115	11790174	6.43721459159402e-24	9.22779226785377e-23	0.0491456609160968
CG43192	chr2R_+_13477430_13477485_13477494_13477547	chr2R	+	13477430	13477485	13477494	13477547	5.46445121974851e-05	0.00015733583916038	0.167946903191176
crol	chr2L_-_11797741_11797828_11798041_11798663	chr2L	-	11797741	11797828	11798041	11798663	1.18992138331193e-15	1.0382709976954e-14	0.151851843682848
CG45088	chr2R_-_13581866_13582161_13582194_13582797	chr2R	-	13581866	13582161	13582194	13582797	6.34361190619523e-10	3.31910358683361e-09	0.30094868557381
fl(2)d	chr2R_-_13821557_13821765_13822125_13823790	chr2R	-	13821557	13821765	13822125	13823790	7.05588867595555e-05	0.000200123640993815	0.208695883443119
shot	chr2R_-_13902317_13902653_13903572_13903812	chr2R	-	13902317	13902653	13903572	13903812	1.45515377024954e-13	1.07215388055302e-12	0.0352858238464612
Pde1c	chr2L_-_11816706_11816792_11817109_11817351	chr2L	-	11816706	11816792	11817109	11817351	1.00343209101062e-19	1.13806095345127e-18	0.557153533579228
Prosap	chr2R_-_14066574_14067246_14067684_14068843	chr2R	-	14066574	14067246	14067684	14068843	0.00604843296406488	0.0127266886335301	0.0689079645071162
Ih	chr2R_+_14292381_14294092_14294188_14296699	chr2R	+	14292381	14294092	14294188	14296699	0.0484533832375419	0.0849387315373626	-0.100807066355563
ttv	chr2R_+_14553064_14563010_14563085_14563257	chr2R	+	14553064	14563010	14563085	14563257	0.000879663732568701	0.00212541946996687	0.109490740740741
Kank	chr2R_-_14902403_14902510_14902723_14902783	chr2R	-	14902403	14902510	14902723	14902783	2.90595549463552e-06	9.95111343014353e-06	0.00305486083626183
CG6686	chr2L_-_11987387_11987471_11987494_11987694	chr2L	-	11987387	11987471	11987494	11987694	7.97606829235737e-19	8.61068694670853e-18	-0.136306772681536
unc-5	chr2R_+_15364938_15365065_15365148_15365709	chr2R	+	15364938	15365065	15365148	15365709	0.0217292895023988	0.0411483966931115	0.091235980627331
Khc-73	chr2R_-_15520336_15520416_15520479_15521840	chr2R	-	15520336	15520416	15520479	15521840	8.48827696483737e-66	4.37294510514041e-64	-0.3524023071879
Khc-73	chr2R_-_15524737_15524859_15524901_15525013	chr2R	-	15524737	15524859	15524901	15525013	0.00732090090303077	0.0151753534171464	-0.0291729396656321
fus	chr2R_-_15658401_15658469_15658548_15658608	chr2R	-	15658401	15658469	15658548	15658608	1.37326579030905e-24	2.03738356346338e-23	0.229442905867552
JhI-21	chr2L_-_12053924_12053981_12054084_12054301	chr2L	-	12053924	12053981	12054084	12054301	3.88777178604446e-25	5.91702322126239e-24	0.110663959862808
Gpo1	chr2R_-_15859939_15860006_15860119_15860193	chr2R	-	15859939	15860006	15860119	15860193	5.75091391683969e-05	0.000165134325231069	0.0526243679690145
sli	chr2R_-_15877540_15879060_15879132_15879394	chr2R	-	15877540	15879060	15879132	15879394	5.16615343020797e-14	3.95849485479767e-13	0.167436532672687
Asph	chr2R_+_16112969_16113180_16114633_16114770	chr2R	+	16112969	16113180	16114633	16114770	0.00164789338366624	0.00381392919145869	0.10080933887102
Vha44	chr2R_-_16326064_16326134_16326273_16326331	chr2R	-	16326064	16326134	16326273	16326331	1.03789056680075e-10	5.87546597217405e-10	0.00743820575953291
Picot	chr2R_-_16664204_16667313_16667448_16667550	chr2R	-	16664204	16667313	16667448	16667550	0.0218515486475802	0.0413623968737419	-0.0912318955145563
Cbp53E	chr2R_+_16984490_16984698_16984931_16985917	chr2R	+	16984490	16984698	16984931	16985917	7.63381027277663e-08	3.17505431538947e-07	0.157531907181643
RhoGEF2	chr2R_+_17032347_17032408_17032466_17034635	chr2R	+	17032347	17032408	17032466	17034635	1.83374845957475e-09	9.12244904446074e-09	0.0690712443480419
rdgBbeta	chr2R_-_17696872_17696928_17696936_17697830	chr2R	-	17696872	17696928	17696936	17697830	6.20586861858549e-08	2.60760217354709e-07	0.0353827574257682
grh	chr2R_+_17839789_17840434_17840499_17840746	chr2R	+	17839789	17840434	17840499	17840746	5.40489442138666e-18	5.52476290012333e-17	0.731575321692387
CG30116	chr2R_-_18465033_18466978_18467093_18467376	chr2R	-	18465033	18466978	18467093	18467376	2.27958984200478e-06	7.9045819273007e-06	0.0657036200514461
CG30122	chr2R_-_18634285_18634769_18634941_18636141	chr2R	-	18634285	18634769	18634941	18636141	1.67090644620016e-10	9.25317642715725e-10	0.0493346905140851
tn	chr2R_+_19001789_19004604_19004883_19005787	chr2R	+	19001789	19004604	19004883	19005787	0.00496408669337964	0.0106047977944939	-0.296674319832215
CG10737	chr2R_+_19171375_19172178_19172524_19172710	chr2R	+	19171375	19172178	19172524	19172710	0.00214384201454345	0.00487346448610677	0.0147921691477345
cora	chr2R_+_19229653_19235120_19235164_19235469	chr2R	+	19229653	19235120	19235164	19235469	1.40247268991614e-24	2.07920572963899e-23	0.114629223197179
CalpA	chr2R_+_19428362_19428425_19428544_19429235	chr2R	+	19428362	19428425	19428544	19429235	5.21506057451432e-06	1.72857473247837e-05	0.0209470984330647
RpL11	chr2R_+_19443098_19443159_19443239_19443311	chr2R	+	19443098	19443159	19443239	19443311	3.43828127730715e-12	2.23496875213172e-11	-0.00876758918189489
hrg	chr2R_-_19668286_19668353_19668478_19669245	chr2R	-	19668286	19668353	19668478	19669245	0.00636533033229008	0.0133409711567751	0.0071896272120463
side-VIII	chr2R_+_20465791_20466808_20466939_20467616	chr2R	+	20465791	20466808	20466939	20467616	1.02281783320178e-05	3.25637374241542e-05	0.236890904509952
side-VIII	chr2R_+_20470120_20470413_20470578_20471539	chr2R	+	20470120	20470413	20470578	20471539	9.64162976191385e-12	6.02266131187374e-11	0.685394653136589
galla-1	chr2R_+_20671678_20671745_20671858_20672117	chr2R	+	20671678	20671745	20671858	20672117	9.13659813981254e-21	1.10277421435429e-19	0.0308211916091655
Gyg	chr2R_+_21205541_21205745_21205814_21208468	chr2R	+	21205541	21205745	21205814	21208468	0.0254455878409559	0.0475247402561197	-0.0583867541415011
CG42672	chr2R_+_21308158_21308291_21308321_21308450	chr2R	+	21308158	21308291	21308321	21308450	2.50732667262271e-06	8.64961498618543e-06	-0.153527134577757
dom	chr2R_+_21325647_21327418_21328219_21328438	chr2R	+	21325647	21327418	21328219	21328438	2.42282329926738e-08	1.06707752512511e-07	0.0127304582233855
CG30395	chr2R_+_21766235_21766291_21766767_21766822	chr2R	+	21766235	21766291	21766767	21766822	2.92090874618351e-08	1.27347135022855e-07	0.117163867487583
Vps35	chr2R_+_22186094_22186161_22186320_22186515	chr2R	+	22186094	22186161	22186320	22186515	0.000142256910499499	0.000386615806001031	-0.0202152784476646
Liprin-gamma	chr2R_-_22341595_22342520_22342730_22344712	chr2R	-	22341595	22342520	22342730	22344712	9.59545450992788e-05	0.000267111105405079	-0.28578726509761
nahoda	chr2R_+_22904473_22910512_22910583_22910820	chr2R	+	22904473	22910512	22910583	22910820	8.90072225812108e-12	5.57665292605691e-11	0.0646319260449694
nahoda	chr2R_+_22914348_22914519_22914850_22915443	chr2R	+	22914348	22914519	22914850	22915443	0.00897223683498928	0.0183024266830295	0.171974939598478
eIF2Bdelta	chr2R_+_23386622_23386789_23386827_23387005	chr2R	+	23386622	23386789	23386827	23387005	9.51529064029725e-10	4.88497340999564e-09	0.339754531811106
CG3530	chr2R_-_23391903_23393363_23393480_23396427	chr2R	-	23391903	23393363	23393480	23396427	3.10928120045709e-05	9.26335288759253e-05	0.03257311228482
SERCA	chr2R_-_23932488_23932573_23932591_23932665	chr2R	-	23932488	23932573	23932591	23932665	1.00179535987479e-22	1.35425542251844e-21	0.0134021309910026
Stoml2	chr2R_+_23948879_23949390_23949476_23949540	chr2R	+	23948879	23949390	23949476	23949540	0.00594033859335676	0.0125167327057159	-0.00414869369578907
Unc-89	chr2R_-_24004123_24004788_24004863_24005021	chr2R	-	24004123	24004788	24004863	24005021	7.46315973003283e-05	0.000210909743129231	0.241640883818742
CG3907	chr2R_-_24021319_24021375_24021541_24021788	chr2R	-	24021319	24021375	24021541	24021788	0.000116705214504501	0.000321039760183666	0.0159747662317669
HSPC300	chr2R_-_24028124_24028221_24028533_24028612	chr2R	-	24028124	24028221	24028533	24028612	1.87453449288104e-15	1.61077784064829e-14	0.596353131024103
yki	chr2R_-_24066313_24066560_24066716_24067161	chr2R	-	24066313	24066560	24066716	24067161	3.75102051712716e-57	1.60525276476901e-55	0.270013934772926
CG30423	chr2R_-_24875593_24875658_24875659_24875763	chr2R	-	24875593	24875658	24875659	24875763	3.83035201943516e-26	6.10977234149261e-25	-0.108795413352106
gsb-n	chr2R_-_25041926_25048046_25048158_25051308	chr2R	-	25041926	25048046	25048158	25051308	0.022001282821675	0.0416237969531884	-0.257659932659933
Sfmbt	chr2L_-_13173941_13174438_13175276_13175665	chr2L	-	13173941	13174438	13175276	13175665	4.13075452573896e-06	1.38677961578429e-05	-0.221047907232299
IntS3	chr2R_-_4236362_4236412_4236557_4236697	chr2R	-	4236362	4236412	4236557	4236697	3.10479786311768e-06	1.05937370671628e-05	0.0232370948834365
NONE	chr2R_+_4731912_4732211_4732767_4732917	chr2R	+	4731912	4732211	4732767	4732917	2.45970869221157e-48	8.61855900912456e-47	0.686128876158189
Nipped-A	chr2R_-_5178622_5180075_5180435_5180548	chr2R	-	5178622	5180075	5180435	5180548	1.57654594841674e-09	7.90560706499448e-09	-0.115154602126408
Nipped-A	chr2R_-_5181767_5183506_5183626_5184122	chr2R	-	5181767	5183506	5183626	5184122	3.7778167242643e-23	5.21336521501059e-22	0.0862504976026935
Fis1	chr2R_-_5603761_5603899_5604012_5604242	chr2R	-	5603761	5603899	5604012	5604242	2.42600320498194e-08	1.06834648480172e-07	0.0155046626453403
Fis1	chr2R_-_5604516_5604582_5604650_5604708	chr2R	-	5604516	5604582	5604650	5604708	4.68400100978976e-10	2.48419618337187e-09	0.0327534665804651
BubR1	chr2R_-_5969995_5970157_5973121_5973496	chr2R	-	5969995	5970157	5973121	5973496	7.45879892744298e-32	1.52506161177033e-30	0.186984820544685
SCAP	chr2R_-_6029859_6032097_6032281_6032345	chr2R	-	6029859	6032097	6032281	6032345	6.00563304786839e-10	3.15102463182691e-09	0.103296889566912
Ars2	chr2R_-_6084007_6084168_6084390_6084506	chr2R	-	6084007	6084168	6084390	6084506	0.011472378804052	0.0229470031628508	0.0499319786568455
