Gene	AS_event_ID	chromosome	strand	Composite_coordinates	pvalue	qvalue	deltaPSI_control-KD
asRNA:CR43809	chr2L_-_21102460_21103970_21103973_21104032_21104041	chr2L	-	21102460;21103970;21103973;21104032;21104041	0.0405366841429835	0.163636868545268	-0.0643666666666667;0.0629999999999998;0.00143333333333334;-0.140166666666667;0.140166666666667;-0.153266666666667;0.153266666666667;-0.0613666666666666;0.0613666666666667
Sxl	chrX_-_7092122_7092170_7097059_7097857_7097861_7097999	chrX	-	7092122;7092170;7097059;7097857;7097861;7097999	0.00169408997129382	0.014172422691221	-0.139;0.0413333333333333;0.0977666666666667;-0.0445666666666666;-0.3016;0.3461
lncRNA:CR44357	chrX_-_7284758_7284812_7284817_7285359_7285717_7285912_7289264_7289337_7289504	chrX	-	7284758;7284812;7284817;7285359;7285717;7285912;7289264;7289337;7289504	0.000309357972536909	0.00339079773310759	-0.0119333333333333;0.0119333333333332;-0.0132333333333333;0.000966666666666616;-0.00723333333333333;0.0308666666666667;0.00660000000000005;-0.0180666666666667;-0.0105666666666667;0.0105666666666666
CG46307	chr2L_+_21121235_21121273_21121331_21121508_21121580	chr2L	+	21121235;21121273;21121331;21121508;21121580	0.00945464492632424	0.0555238910971749	-0.0593666666666667;0.0593666666666667;0.1669;-0.1669;0.00939999999999996;-0.00940000000000002
lncRNA:CR43278	chrX_-_7489704_7489725_7493108_7508793_7508878_7511360	chrX	-	7489704;7489725;7493108;7508793;7508878;7511360	2.16496019241893e-67	1.78306676565621e-64	-0.00203333333333333;0.00203333333333311;-0.343866666666667;0.343866666666667;0.0618333333333334;-0.0618333333333333;0.411933333333333;-0.411933333333333
lncRNA:CR43279	chrX_+_7495048_7495053_7495112_7495115_7500945_7500950_7501006_7501012	chrX	+	7495048;7495053;7495112;7495115;7500945;7500950;7501006;7501012	0.0219572673628119	0.10584997843722	0.000600000000000045;-0.0006;0.000433333333333334;-0.000233333333333419;-0.0002;0.0176666666666668;-0.0181666666666667;0.000533333333333333;0.00166666666666671;-0.00166666666666667
CG46307	chr2L_+_21128062_21128738_21128777_21129082_21130003_21130668_21131229_21131839_21132032	chr2L	+	21128062;21128738;21128777;21129082;21130003;21130668;21131229;21131839;21132032	1.59478846911666e-12	8.22237608704039e-11	0.00686666666666666;-0.00686666666666669;0.0247666666666667;-0.00470000000000004;-0.0201;0.0367;0.1919;-0.00733333333333333;0.0804;-0.301633333333333
CG32718	chrX_+_7778353_7778365_7778432_7778435	chrX	+	7778353;7778365;7778432;7778435	0.0447857642366017	0.175279180676419	-0.0294333333333334;0.0294333333333334;0.00946666666666673;-0.00946666666666662;0.00696666666666657;-0.00696666666666665;0.00613333333333344;-0.00613333333333333
Dap160	chr2L_-_21135017_21135029_21135891_21137106_21137513	chr2L	-	21135017;21135029;21135891;21137106;21137513	0.0212700078683441	0.10333559521064	0.0117;0.0112000000000001;-0.0229;0.0242333333333333;-0.0242333333333333
Dap160	chr2L_-_21138030_21138111_21138358_21138361_21138710	chr2L	-	21138030;21138111;21138358;21138361;21138710	0.00214418976171285	0.0171259083952613	0.0440333333333333;0.00666666666666667;-0.0507;-0.0698333333333333;0.0698333333333333
sws	chrX_-_7958482_7958976_7959094_7959994_7960112_7961175	chrX	-	7958482;7958976;7959094;7959994;7960112;7961175	0.0047550080450289	0.0322834994526211	-0.0111333333333333;-0.0199;0.031;-0.0168;0.0282666666666667;-0.0114666666666667
Trf2	chrX_+_8410689_8414625_8418349_8418426_8421655_8423062_8423182	chrX	+	8410689;8414625;8418349;8418426;8421655;8423062;8423182	3.7199708733385e-07	8.77615309857285e-06	0.045;-0.045;0.00926666666666667;-0.0118666666666666;0.00316666666666667;-0.000533333333333335;-0.0156000000000001;0.0156
Nrg	chrX_+_8548525_8550081_8550143_8550609_8551748	chrX	+	8548525;8550081;8550143;8550609;8551748	0.000109285092761677	0.00139076538116143	0.1694;0.0468;-0.216166666666667;-0.0511000000000001;0.0511
lncRNA:CR43297	chrX_+_8725109_8725427_8725491_8729841_8729846	chrX	+	8725109;8725427;8725491;8729841;8729846	6.21629828699439e-07	1.40712198116563e-05	0.0133666666666666;-0.0133666666666667;0.0598000000000001;-0.0456666666666667;-0.0141333333333333
bur	chr2L_-_21177678_21177824_21177900_21178105_21178181_21178249_21179328	chr2L	-	21177678;21177824;21177900;21178105;21178181;21178249;21179328	2.38727251521468e-15	1.63846980395199e-13	-0.00133333333333352;0.00133333333333333;-0.0901999999999999;0.0902;0.0872333333333333;0.175133333333333;-0.166833333333333;-0.0956
CG7766	chrX_-_9098413_9099312_9099461_9100511_9100657_9101094	chrX	-	9098413;9099312;9099461;9100511;9100657;9101094	0.00650371197826981	0.041597467263643	-0.1208;0.101;0.0197666666666667;0.0561333333333333;0.0588333333333334;-0.115
mei-P26	chrX_+_9163290_9163398_9164167_9164334_9165628_9165680	chrX	+	9163290;9163398;9164167;9164334;9165628;9165680	0.0423814341371572	0.168782202616398	-0.1139;0.141766666666667;-0.0278666666666667;-0.0228666666666666;-0.0831666666666667;0.106033333333333
CG31624	chr2L_-_21199957_21199960_21200009_21200206_21202272_21202432_21203290_21203908	chr2L	-	21199957;21199960;21200009;21200206;21202272;21202432;21203290;21203908	0.000655615588753811	0.00640666276804588	-0.104966666666667;0.104966666666667;0.00280000000000002;-0.00280000000000002;0.0691666666666667;-0.0691666666666666;-0.4349;0.4349;-0.0107666666666667;0.0107666666666666;3.33333333333336e-05;-0.127633333333333;0.127566666666667;0.000299999999999856;-0.0003
mgl	chrX_-_9472657_9472660_9473266_9495672_9499872_9499884_9505027_9506169	chrX	-	9472657;9472660;9473266;9495672;9499872;9499884;9505027;9506169	4.22230222203218e-06	8.02025183458218e-05	-0.0563666666666667;0.0563666666666667;-0.0360666666666667;0.00566666666666663;0.0305;-0.0424666666666667;0.0424666666666663;-0.00620000000000009;0.00619999999999987;0.0384333333333333;-0.0384333333333333;0.0360333333333334;0.0551;-0.0911666666666666
PRY	chrY_-_159677_188766_190141_190858_191209	chrY	-	159677;188766;190141;190858;191209	0.000803865513774373	0.0076347020210496	-0.1676;0.087;0.0805666666666666;-0.149433333333333;0.149433333333333
Ppr-Y	chrY_+_1636781_1641308_1641593_1642832_1643012_1652834_1653412_1804022	chrY	+	1636781;1641308;1641593;1642832;1643012;1652834;1653412;1804022	1.38169929914988e-22	1.72688219215345e-20	-0.269133333333333;-0.0957666666666667;0.3649;0.0466666666666666;-0.0466666666666665;0.2673;-0.2673;0.130466666666667;-0.130466666666667;-0.0154999999999998;0.0155
kl-2	chrY_+_573754_596987_598838_637848_638970_651213	chrY	+	573754;596987;598838;637848;638970;651213	1.97921436618206e-15	1.36864058232403e-13	-0.673366666666667;0.673366666666667;-0.378733333333333;0.0615666666666667;0.317166666666667;0.398333333333333;-0.2335;-0.164833333333333;-0.0699666666666667;0.0699666666666667
ARY	chrY_+_677543_677781_677866_678125_702429_702476	chrY	+	677543;677781;677866;678125;702429;702476	0.0118775484984555	0.0661544644606622	-0.0555333333333333;0.0555333333333332;-0.0377;0.105966666666667;-0.0682;-0.159533333333333;0.159533333333333
crc	chr2L_+_21311017_21311032_21311191_21311434_21311531_21311751	chr2L	+	21311017;21311032;21311191;21311434;21311531;21311751	0.00757995970373256	0.0468666209169859	-0.0129333333333333;0.012933333333333;0.0134333333333332;-0.0134333333333333;0.0329;-0.00396666666666667;-0.0289000000000001
crc	chr2L_+_21312208_21315538_21318064_21318125_21318319	chr2L	+	21312208;21315538;21318064;21318125;21318319	2.36749015478559e-05	0.000373410103200543	-0.0269666666666665;0.0246;0.00236666666666668;0.00570000000000004;-0.0057
CG2201	chr2L_-_21617821_21617879_21617939_21617951_21618002	chr2L	-	21617821;21617879;21617939;21617951;21618002	6.24313135315426e-11	2.66665559347063e-09	-0.136966666666667;0.0122;0.124766666666667;0.0808666666666667;-0.0808666666666666
CG2225	chr2L_-_21628209_21629665_21633920_21635239_21663841_21665595_21665916	chr2L	-	21628209;21629665;21633920;21635239;21663841;21665595;21665916	4.3230064332734e-27	7.25102496814403e-25	-0.2307;-0.0384666666666667;0.0122666666666667;0.256166666666667;0.000666666666666704;0.107333333333333;-0.107333333333333
nolo	chr2L_+_21661636_21662020_21662082_21683562_21688472_21688552_21700670	chr2L	+	21661636;21662020;21662082;21683562;21688472;21688552;21700670	3.14759875433367e-05	0.00047927208242984	0.00316666666666665;-0.00316666666666667;-0.170166666666667;0.193166666666667;-0.0229666666666668;0.00473333333333348;-0.00473333333333333;-0.145766666666667;0.145766666666667
eEF2	chr2L_-_21681558_21682037_21719125_21720698_21728471_21737599	chr2L	-	21681558;21682037;21719125;21720698;21728471;21737599	6.91071147125712e-10	2.53954473466443e-08	-0.145533333333333;-0.362966666666667;0.5085;0.00250000000000006;-0.00203333333333333;-0.0005
kis	chr2L_-_218885_221504_226114_226508_227370	chr2L	-	218885;221504;226114;226508;227370	0.00934888306758463	0.0550662648480794	-0.025;0.0249999999999998;-0.003;0.0250999999999999;-0.0221333333333333
CG2528	chr2L_-_21977803_21981672_21990889_22000345_22004199_22014504	chr2L	-	21977803;21981672;21990889;22000345;22004199;22014504	9.79124229400224e-06	0.000169450214495959	-0.779766666666667;0.779766666666667;-0.555733333333333;0.555733333333333;Inf;Inf;-0.0268;0.0268
CG41434	chr2L_+_22024056_22025449_22029843_22031957_22032308_22032371_22032395_22032477_22038263_22038454	chr2L	+	22024056;22025449;22029843;22031957;22032308;22032371;22032395;22032477;22038263;22038454	3.44639938967587e-06	6.6787373511966e-05	-0.199366666666667;0.199366666666667;-0.221933333333333;0.221933333333333;-0.133433333333333;0.437233333333333;-0.211166666666667;-0.0926333333333333;-0.0401666666666667;0.0326333333333333;0.0462666666666667;-0.0387666666666666
CG34173	chr2L_-_22043466_22043535_22043939_22054117_22054170	chr2L	-	22043466;22043535;22043939;22054117;22054170	2.0850114159658e-25	3.08624927126865e-23	-0.127233333333333;-0.0788666666666667;0.2061;0.0189666666666666;-0.0189666666666667
CG15219	chr2L_-_22105048_22105051_22105067_22105077_22105110_22105114_22105142	chr2L	-	22105048;22105051;22105067;22105077;22105110;22105114;22105142	0.00236795399270825	0.0185809336786604	6.66666666666669e-05;0.00203333333333333;-0.00213333333333343;0;-0.0143;0.0143000000000001;-0.0101333333333333;0.0101333333333332;-0.0003;0.000299999999999967;0.235866666666667;-0.235866666666667
CG42748	chr2L_+_22156815_22157021_22157055_22158387_22158511	chr2L	+	22156815;22157021;22157055;22158387;22158511	6.72330288606037e-06	0.000120410287344133	-0.1763;0.00270000000000004;0.173566666666667;-0.00376666666666666;0.00376666666666636
papi	chr2L_+_2220951_2222298_2222770_2222847_2222947_2223241	chr2L	+	2220951;2222298;2222770;2222847;2222947;2223241	0.0240388705954637	0.113043048526695	-0.0129333333333333;0.0181666666666667;-0.00829999999999997;0.00313333333333333;0.00436666666666667;-0.00436666666666674
Tif-IA	chr2L_+_22250853_22250913_22253192_22253921_22257651	chr2L	+	22250853;22250913;22253192;22253921;22257651	2.55649438992337e-26	4.05510508896463e-24	-0.0735333333333333;0.0735333333333335;-0.0074;0.0870666666666666;-0.0797
lncRNA:CR43753	chr2L_-_2272500_2276391_2278919_2279251_2279632_2280985	chr2L	-	2272500;2276391;2278919;2279251;2279632;2280985	6.19492380611992e-09	1.97797266515383e-07	-0.1006;-0.171866666666667;0.00570000000000004;0.266766666666667;-0.2014;0.2014
NONE	chr2L_-_22950476_22959430_22959594_22959653_22959665	chr2L	-	22950476;22959430;22959594;22959653;22959665	0.0451286876864493	0.176162850195369	-0.1802;0.1802;0.121233333333333;-0.1074;-0.0138333333333333
dbr	chr2L_+_23422_54500_61884_67003_67137_67387_67507_67567_67762_67890_72081_72977_73692_74572_74901	chr2L	+	23422;54500;61884;67003;67137;67387;67507;67567;67762;67890;72081;72977;73692;74572;74901	1.50843260590517e-19	1.48396966364401e-17	0.0082000000000001;0.121533333333333;-0.129766666666667;0.0439;-0.0438999999999998;-0.4391;0.4391;0.00876666666666664;-0.0404666666666667;0.0357666666666666;0.00539999999999999;-0.00943333333333333;0.0947;0.1432;0.155733333333333;0.0592666666666667;-0.525933333333333;0.0731
CG3609	chr2L_-_2373722_2373934_2373956_2374487_2374907_2374967_2375137_2375540_2375582_2376428	chr2L	-	2373722;2373934;2373956;2374487;2374907;2374967;2375137;2375540;2375582;2376428	7.09175686479946e-21	7.76118488503547e-19	-0.2226;0.2226;-0.519766666666667;-0.151966666666667;0.0538333333333333;0.6179;-0.0741999999999999;0.0742;0.0140666666666667;0.2915;-0.0387666666666667;-0.2668;0.142933333333333;-0.00413333333333338;-0.138766666666667
lncRNA:CR44219	chr2L_+_262586_262593_262597_262643_262652_262655	chr2L	+	262586;262593;262597;262643;262652;262655	0.0115858770534445	0.0649466254616343	0.0369666666666667;-0.0734666666666666;0.0364999999999999;-0.0845;0.0845;-0.0707666666666666;0.0707666666666667
lilli	chr2L_+_2886133_2886578_2889672_2890169_2890375_2890594_2890645_2890677_2890916_2907074_2924912_2945028_2945792_2946484_2946626_2946658_2946707	chr2L	+	2886133;2886578;2889672;2890169;2890375;2890594;2890645;2890677;2890916;2907074;2924912;2945028;2945792;2946484;2946626;2946658;2946707	1.20618649802992e-06	2.57003737379569e-05	-0.2276;0.2276;-0.00166666666666668;-0.00219999999999999;0.00546666666666673;-0.00523333333333333;-0.00963333333333331;-0.00676666666666667;0.0199333333333333;0.0149;-0.0719;0.126066666666667;-0.0153666666666667;0.0873;-0.140866666666667;-0.0405333333333334;0.0470333333333333;-0.00649999999999998;-0.0209;0.145566666666667;-0.0181;-0.106533333333333
Cda5	chr2L_-_29068_30392_33270_33843_34288_34556_35744	chr2L	-	29068;30392;33270;33843;34288;34556;35744	0.0127492177781442	0.0698526651842869	-0.0262333333333334;0.0262333333333333;-0.00656666666666672;0.00656666666666667;-0.0511666666666667;-0.0242666666666667;0.175066666666667;-0.0995666666666667
Rbp9	chr2L_+_2955507_2959520_2960688_2960986_2960991_2961213_2961216	chr2L	+	2955507;2959520;2960688;2960986;2960991;2961213;2961216	0.000960385478267276	0.00886693353109631	-0.126833333333333;0.126833333333333;-0.0434;-0.000433333333333332;0.0570333333333332;-0.0132333333333333;0.0185666666666667;-0.0185666666666666;0.00149999999999995;-0.0015;0.0194333333333333;-0.0194333333333331
Chd1	chr2L_-_2986150_2986514_2986577_2986814_2987045_2987062_2987120_2987144_2987385_2987510	chr2L	-	2986150;2986514;2986577;2986814;2987045;2987062;2987120;2987144;2987385;2987510	2.56272823597403e-30	5.22641982880025e-28	-0.138066666666667;0.138066666666666;-0.4182;0.374666666666667;0.0435333333333333;-0.373966666666667;0.373966666666667;0.0454333333333333;-0.152166666666667;0.00529999999999999;-0.0194666666666667;0.120966666666667;0.0735666666666667;-0.305666666666667;0.2321
toc	chr2L_-_3081268_3089833_3094215_3094375_3094458_3097920_3098065_3099451_3108723	chr2L	-	3081268;3089833;3094215;3094375;3094458;3097920;3098065;3099451;3108723	0.00205462184157964	0.0165360763874865	0.000766666666666669;-0.000766666666666693;-0.00336666666666667;0.0182;-0.0148;-0.00443333333333334;0.00540000000000007;-0.000233333333333334;-0.0007;0.0473666666666667;-0.0517333333333334;0.0044;0.0072;-0.00719999999999998
CG9664	chr2L_-_3293949_3294081_3294118_3294229_3294582	chr2L	-	3293949;3294081;3294118;3294229;3294582	0.0108206534138862	0.0616358925307201	-0.0851333333333333;0.0851333333333333;0.1266;-0.0192333333333333;-0.107366666666667
GramD1B	chr2L_-_3361443_3362414_3362441_3362718_3362935_3362997	chr2L	-	3361443;3362414;3362441;3362718;3362935;3362997	4.31419117659359e-06	8.16341547497934e-05	0.0900000000000001;0.0208;-0.110766666666667;0.0032666666666667;-0.1027;0.0994333333333334
CG14072	chr2L_+_10933557_10936713_10937075_10937191_10937234_10937240_10937304	chr2L	+	10933557;10936713;10937075;10937191;10937234;10937240;10937304	0.0115446361341582	0.0647719624361969	-0.14;0.14;-0.00789999999999998;0.141966666666667;-0.152133333333333;0.0180666666666666;0.0407333333333334;-0.0407333333333333
capu	chr2L_-_3875302_3878893_3879067_3883534_3884034_3884518_3886982_3887556_3887799_3888647_3889429_3889784_3889813_3889861_3893260_3893604_3902593	chr2L	-	3875302;3878893;3879067;3883534;3884034;3884518;3886982;3887556;3887799;3888647;3889429;3889784;3889813;3889861;3893260;3893604;3902593	1.53447732042262e-17	1.26704829744562e-15	-0.00543333333333333;0.00413333333333343;0.0013;-0.0065;-0.0531;0.0632666666666666;-0.00366666666666667;-0.00516666666666667;-0.0345333333333333;-0.00280000000000001;0.00556666666666667;0.0368333333333333;0.00106666666666667;-0.00106666666666677;0.141766666666667;-0.141766666666667;0.00616666666666676;-0.00616666666666667;0.00623333333333342;-0.00226666666666667;-0.00396666666666667;0.0440333333333333;0.0429333333333333;-0.0874333333333334;0.000433333333333334;-0.0281;0.141366666666667;-0.113266666666667;-0.0646666666666667;0.0646666666666667;-0.1174;0.1174
dpy	chr2L_-_4520299_4520375_4522964_4523029_4525927_4526222	chr2L	-	4520299;4520375;4522964;4523029;4525927;4526222	0.0037437963416451	0.0267257718394958	-0.1434;0.0425333333333334;0.100966666666667;0.2244;-0.2244;-0.0865666666666667;0.0865666666666668
dpy	chr2L_-_4574342_4574809_4575108_4575128_4575223_4575247_4591511	chr2L	-	4574342;4574809;4575108;4575128;4575223;4575247;4591511	0.00303588219461851	0.0226748001727532	0.116733333333333;0.0771;-0.193866666666667;-0.138233333333333;-0.0634;-0.0304;0.232
ush	chr2L_+_476331_489515_491358_508864_524059_525390	chr2L	+	476331;489515;491358;508864;524059;525390	5.0187042349602e-05	0.000719690763708409	-0.263;0.0814666666666667;0.181533333333333;0.345366666666667;-0.345366666666667;-0.0881333333333333;0.0881333333333331
tank	chr2L_-_4837639_4837690_4837779_4837843_4837847	chr2L	-	4837639;4837690;4837779;4837843;4837847	0.00137240919755697	0.0119214684234712	0.0368999999999999;0.0185666666666667;-0.0554666666666667;-0.290266666666667;0.290266666666667
mxt	chr2L_-_4844772_4844951_4845085_4845158_4845252	chr2L	-	4844772;4844951;4845085;4845158;4845252	3.47544355068939e-09	1.14554114489398e-07	-0.0185333333333333;0.0185333333333333;-0.130766666666667;-0.0171666666666667;0.147866666666667;0.153233333333333;-0.153233333333333;0.4105;-0.4105
Cf2	chr2L_-_4860296_4879196_4880292_4880376_4880472_4881213	chr2L	-	4860296;4879196;4880292;4880376;4880472;4881213	6.92239641371997e-10	2.5411523886502e-08	-0.0162666666666667;0.314833333333333;-0.2986;-0.0248;-0.309966666666667;0.334733333333333
Cf2	chr2L_-_4882365_4882492_4882634_4882863_4882887	chr2L	-	4882365;4882492;4882634;4882863;4882887	0.0061779904488862	0.0399275940067302	0.0965;-0.0964999999999999;0.045;0.0874333333333333;-0.132466666666667
hoe1	chr2L_-_4926278_4926346_4928192_4928196_4928226_4928242	chr2L	-	4926278;4926346;4928192;4928196;4928226;4928242	0.0454026131465579	0.176866731620158	0.0265666666666667;-0.0265666666666667;-0.0197333333333333;-0.0147;-0.0121333333333334;0.0465333333333334
TTLL4A	chr2L_+_10989870_10989874_10989972_10990016_10990094_10990155_10990783_10991057	chr2L	+	10989870;10989874;10989972;10990016;10990094;10990155;10990783;10991057	1.08796848209031e-06	2.33753121264092e-05	-0.00873333333333337;0.00873333333333337;0.00546666666666667;0.00133333333333333;-0.00680000000000003;-0.00126666666666664;0.00126666666666664;0.0151;0.00386666666666667;-0.0138666666666666;-0.0034;-0.00170000000000001
qtc	chr2L_+_5068394_5069125_5069219_5070095_5071030_5071101	chr2L	+	5068394;5069125;5069219;5070095;5071030;5071101	0.000121350613541076	0.00152484190504495	-0.0064333333333334;0.00643333333333333;-0.0261;0.0261000000000001;0.00796666666666666;0.00619999999999998;-0.0141666666666667
Msp300	chr2L_+_5155849_5157872_5158453_5158631_5164718_5165399_5165745_5184334_5184464_5184485_5185421_5185519_5185964_5187605_5187717_5188115	chr2L	+	5155849;5157872;5158453;5158631;5164718;5165399;5165745;5184334;5184464;5184485;5185421;5185519;5185964;5187605;5187717;5188115	4.25055337645344e-48	2.03187818444857e-45	-0.0945333333333333;-0.0452333333333333;0.5488;-0.409033333333333;-0.1509;-0.0249;0.175766666666667;0.0057;0.159433333333333;-0.0417;-0.123466666666667;0.362366666666667;-0.362366666666667;-0.264133333333333;0.0086;-0.0177;-0.0245;-0.0824333333333333;-0.0615;0.5442;-0.102533333333333
Msp300	chr2L_+_5204592_5204834_5204873_5204903_5205102	chr2L	+	5204592;5204834;5204873;5204903;5205102	3.40214851310018e-19	3.26205108403088e-17	-0.0237;0.0237000000000001;0.0331666666666668;-0.00683333333333333;-0.0263666666666667
Oscillin	chr2L_+_5547412_5547724_5547728_5547756_5547806	chr2L	+	5547412;5547724;5547728;5547756;5547806	7.49805205267825e-07	1.66269368973457e-05	-0.0580333333333333;-0.0332333333333333;0.0912666666666667;0.0171;-0.0171
Hsp60C	chr2L_+_5620748_5662981_5662986_5668747_5668767_5668801_5668816_5668881_5668922_5668941	chr2L	+	5620748;5662981;5662986;5668747;5668767;5668801;5668816;5668881;5668922;5668941	1.17583652677874e-36	3.2280732614014e-34	-0.0022;0.0429666666666666;-0.0407666666666667;-0.00406666666666667;0.00406666666666644;0.0584666666666666;-0.000866666666666665;-0.0085;-0.0313333333333333;-0.0177666666666667;-0.000266666666666663;0.000266666666666859
CG9016	chr2L_-_5923472_5923479_5923530_5923532_5923537_5923539_5943132_5943201_5948145_5948198	chr2L	-	5923472;5923479;5923530;5923532;5923537;5923539;5943132;5943201;5948145;5948198	3.36601433851333e-28	5.95691810249132e-26	0.00216666666666667;-0.00216666666666654;-9.99999999999985e-05;9.9999999999878e-05;-0.0899;-0.332066666666667;0.422033333333333;0.1656;-0.1656;0.0978333333333333;-0.106533333333333;0.00953333333333334;0.0004;-0.00123333333333333;-0.00713333333333332;0.00713333333333321
Kr-h2	chr2L_+_6070428_6070925_6071187_6071340_6072315_6072412	chr2L	+	6070428;6070925;6071187;6071340;6072315;6072412	0.0367364670700306	0.152730221398255	-0.000666666666666666;0.00966666666666671;-0.00556666666666667;-0.00343333333333333;0.00229999999999997;-0.00229999999999986
stai	chr2L_+_6100008_6100016_6100282_6100549_6101692_6101798_6113113_6121210_6121772	chr2L	+	6100008;6100016;6100282;6100549;6101692;6101798;6113113;6121210;6121772	3.10249601422236e-08	8.81111611183284e-07	0.00306666666666669;-0.0308333333333333;0.1156;-0.0878666666666665;-0.00383333333333333;-0.00406666666666667;-0.00653333333333333;0.0161;-0.00773333333333333;0.00606666666666678;0.319733333333333;-0.319733333333333;0.273433333333333;-0.273433333333333;0.0835333333333333;-0.0835333333333333
Sam-S	chr2L_+_110877_111003_111117_111905_112019_112688	chr2L	+	110877;111003;111117;111905;112019;112688	0.0326884692774007	0.140869581480419	-0.0207;0.0418333333333333;-0.0210666666666669;0.0106333333333333;0.00803333333333334;-0.0186666666666667
stai	chr2L_+_6122410_6122460_6122696_6122853_6122976	chr2L	+	6122410;6122460;6122696;6122853;6122976	1.17475169401323e-06	2.51306105811203e-05	0.00123333333333333;-0.00123333333333331;0.00506666666666667;-0.00636666666666685;0.00133333333333333
PDZ-GEF	chr2L_+_6329697_6330121_6330563_6330718_6330769	chr2L	+	6329697;6330121;6330563;6330718;6330769	9.96539473825049e-07	2.16317547233832e-05	0.1015;-0.0109;-0.0906;-0.1147;0.1147
lncRNA:CR44777	chr2L_-_6359320_6359571_6359673_6359679_6359908_6360505	chr2L	-	6359320;6359571;6359673;6359679;6359908;6360505	6.88418597443419e-05	0.000939152667622906	-0.0289666666666667;-0.102433333333333;0.1454;-0.0139;0.0433000000000001;-0.0433
CG31637	chr2L_+_6498402_6499819_6515260_6515339_6525366	chr2L	+	6498402;6499819;6515260;6515339;6525366	0.00184266100914392	0.0151567715606164	-0.105666666666667;0.174833333333333;-0.0691333333333333;0.2254;-0.2254
CG31635	chr2L_-_6646947_6647152_6647706_6647745_6647919_6647949_6648747_6648896_6648944_6649028	chr2L	-	6646947;6647152;6647706;6647745;6647919;6647949;6648747;6648896;6648944;6649028	0.00850076435363581	0.0512046509931475	-0.0284000000000002;0.0284;0.00226666666666667;0.0149000000000001;-0.00153333333333332;-0.0529666666666667;-0.0181;-0.00253333333333332;-0.0251;0.0832
nrv2	chr2L_-_6791841_6793226_6793396_6793404_6794327_6794491_6796335_6796835_6797010_6797432_6797753_6797939_6798226	chr2L	-	6791841;6793226;6793396;6793404;6794327;6794491;6796335;6796835;6797010;6797432;6797753;6797939;6798226	1.90440533155363e-07	4.70722981548044e-06	-0.0132666666666667;-0.00596666666666667;0.0192666666666668;-0.00396666666666667;-0.0033333333333333;0.00736666666666667;-0.0452;-0.00206666666666666;0.0016;0.0456666666666667;0.0336666666666667;-0.000466666666666667;-0.0101333333333333;-0.000766666666666667;-0.0222666666666667;0.00186666666666666;-0.00186666666666668;0.0035;0.0390666666666666;-0.0426333333333333;0.341766666666667;-0.341766666666667
CG17377	chr2L_-_6801650_6801700_6801704_6801706_6801812_6801852_6802038_6802243_6802248_6802547_6802609	chr2L	-	6801650;6801700;6801704;6801706;6801812;6801852;6802038;6802243;6802248;6802547;6802609	0.0180602326387345	0.0913646006185353	6.66666666666667e-05;-0.000166666666666667;6.66666666666593e-05;-0.000533333333333333;0.000533333333333275;6.66666666666666e-05;-0.000599999999999934;0.000299999999999999;9.99999999999994e-05;0.000133333333333333;5.42101086242752e-20;0.000366666666666737;-0.000366666666666667
Hrb27C	chr2L_+_6915543_6920861_6920931_6921073_6921440_6921491_6921673_6922636_6922729_6922733_6922826_6923782	chr2L	+	6915543;6920861;6920931;6921073;6921440;6921491;6921673;6922636;6922729;6922733;6922826;6923782	0.00126014330856224	0.0110909530463552	0.237466666666667;-0.118433333333333;-0.119;0.0126;0.0169333333333332;-0.0104;-0.00466666666666669;-0.00673333333333333;-0.0077;0.0063;-0.00883333333333333;-0.000966666666666667;0.00353333333333339;-0.140333333333333;0.0681333333333333;0.0722;0.00296666666666667;-0.00203333333333333;0.0114333333333334;-0.00283333333333333;-0.0095666666666667;-0.0372333333333333;0.0334333333333335;0.00373333333333334
milt	chr2L_+_7041159_7042512_7046252_7046318_7047214_7049725_7051230_7051365	chr2L	+	7041159;7042512;7046252;7046318;7047214;7049725;7051230;7051365	0.00595827187594563	0.0388278904019703	-0.0127;-0.0212333333333333;-0.0494000000000001;0.0598;0.0235;0.0134666666666667;0.0325333333333333;-0.0460333333333333
CG31909	chr2L_+_7257555_7257564_7257629_7257637_7257679_7257695	chr2L	+	7257555;7257564;7257629;7257637;7257679;7257695	2.86220156841049e-10	1.11670334843823e-08	0.000566666666666667;0.0196666666666667;-0.0202666666666665;0.4934;-0.4934;0.347333333333333;-0.347333333333333;0.0654666666666667;-0.0654666666666665;-0.000366666666666666;0.000366666666666737
muc	chr2L_+_7428610_7428679_7428777_7428876_7428924	chr2L	+	7428610;7428679;7428777;7428876;7428924	0.00624613152105307	0.0402824028440652	-0.0131;0.0131;-0.0845666666666668;0.0845666666666666;-0.0894333333333333;0.0894333333333333;-0.00293333333333333;0.00146666666666695;0.0014
RapGAP1	chr2L_-_7536473_7537009_7537323_7555660_7568572_7578235	chr2L	-	7536473;7537009;7537323;7555660;7568572;7578235	3.07293924718756e-06	6.02406744518085e-05	-0.110466666666666;0.110466666666667;0.0854333333333333;-0.162066666666667;0.00960000000000005;0.067
CG46025	chr2L_+_7763696_7764333_7764349_7764425_7764473_7764485_7764539	chr2L	+	7763696;7764333;7764349;7764425;7764473;7764485;7764539	4.31572229948976e-05	0.000632549204292771	-0.0158999999999999;0.0178666666666667;-0.00263333333333333;-0.000633333333333333;0.00126666666666667;0.4804;-0.4804;0.0713;-0.0713;0.1792;-0.1792
